Date,price,sma_10,sma_20,sma_50,ema_20,rsi_14,volatility_index,daily_return,sentiment,target_price
2021-06-09,1893.199951171875,1895.3099975585938,1879.7600036621093,1812.3820043945314,1874.2724222140855,55.16934915961752,10.121113186351268,0.0005284853745930462,-0.011225037537281768,1859.5
2021-06-10,1894.199951171875,1894.5999877929687,1883.3400024414063,1816.5880029296875,1876.1702821148274,55.36325237592397,9.900857085652406,0.0005282062253282316,-0.49733154991880846,1773.800048828125
2021-06-11,1877.4000244140625,1892.7699951171876,1886.020001220703,1819.8600024414063,1876.2874004290404,50.27496895511798,11.271314761825222,-0.00886914116295856,-0.30615410249256425,1767.9000244140625
2021-06-14,1864.0,1888.9199951171875,1887.325,1822.6100024414063,1875.1171718167507,42.24400933540828,13.857198098079042,-0.007137543538833557,0.1146467164345063,1781.800048828125
2021-06-15,1854.5,1884.0799926757813,1886.675,1825.1600024414063,1873.1536316437268,33.074598178618245,16.610692876585215,-0.005096566523605128,-0.33257287815476344,1776.300048828125
2021-06-16,1859.5,1879.2799926757812,1886.2599975585938,1827.5200024414062,1871.8532857728958,33.99696040109245,16.01567065039432,0.0026961445133459883,0.16557317849957298,1782.300048828125
2021-06-17,1773.800048828125,1869.5400024414062,1880.8849975585938,1828.19400390625,1862.5148822543463,21.072665081550085,37.14920777259025,-0.04608763171383434,0.08001051445216045,1775.5999755859375
2021-06-18,1767.9000244140625,1857.35,1875.1899963378905,1828.4160034179688,1853.5039434124144,17.921862263139857,48.13733455411328,-0.0033262060275397465,-0.22458250176126104,1776.5999755859375
2021-06-21,1781.800048828125,1845.85,1870.445001220703,1829.1860034179688,1846.6750010710537,22.884038758524554,51.29848987522043,0.007862449359187895,0.009294491449932996,1779.5999755859375
2021-06-22,1776.300048828125,1834.260009765625,1865.0300048828126,1830.0880053710937,1839.9726246669652,20.740446726863283,52.735624233159186,-0.0030867661069026164,0.4225190465249592,1762.800048828125
2021-06-23,1782.300048828125,1823.17001953125,1859.240008544922,1830.8100073242188,1834.4799983965995,27.075854774840565,50.58047117989059,0.003377807709884495,0.08911590964141736,1770.800048828125
2021-06-24,1775.5999755859375,1811.3100219726562,1852.9550048828125,1831.6240063476562,1828.8723771765365,18.626374547686197,45.748732895878895,-0.0037592285578361695,-0.45625236382345713,1775.9000244140625
2021-06-25,1776.5999755859375,1801.2300170898438,1847.0000061035157,1831.8480053710937,1823.894053215527,15.8522756040569,40.355851795542435,0.0005631899153806241,-0.19900120459286785,1782.5999755859375
2021-06-28,1779.5999755859375,1792.7900146484376,1840.8550048828124,1831.8600048828125,1819.6755696317566,17.717901426836562,34.1122403839378,0.0016886187331002223,-0.13529190940083602,1793.5
2021-06-29,1762.800048828125,1783.62001953125,1833.8500061035156,1831.7280053710938,1814.258853364744,15.720311298630776,27.33169131129855,-0.009440282641204889,-0.2863631931116657,1801.5
2021-06-30,1770.800048828125,1774.7500244140624,1827.0150085449218,1831.5980053710937,1810.1199195993518,18.711984559215878,6.173457778864398,0.0045382345010247516,-0.20317670275125832,1799.5999755859375
2021-07-01,1775.9000244140625,1774.9600219726562,1822.2500122070312,1831.2700048828126,1806.8608819626575,22.64150943396227,6.173269304624412,0.0028800403463464797,0.09199296872980944,1810.0
2021-07-02,1782.5999755859375,1776.4300170898437,1816.8900085449218,1831.2980053710937,1804.5503194505889,27.237120313723565,6.054380915290936,0.0037727074045654785,-0.112678209854293,1805.5
2021-07-06,1793.5,1777.6000122070313,1811.7250061035156,1831.6280053710936,1803.4979080743424,33.07435723392119,8.019129520142643,0.006114677753476183,-0.38355423594115934,1809.4000244140625
2021-07-07,1801.5,1780.1200073242187,1807.190008544922,1832.0740063476562,1803.3076311148811,34.17030145778111,10.978634311741294,0.004460551993309192,-0.3821910310278187,1824.300048828125
2021-07-08,1799.5999755859375,1781.85,1802.510009765625,1832.506005859375,1802.9545210645056,62.97782717353261,12.603180983363515,-0.0010546902104149325,0.4056820874039684,1828.4000244140625
2021-07-09,1810.0,1785.2900024414062,1798.3000122070312,1833.2420068359374,1803.6255190583622,70.25984874563679,15.14590177407576,0.005779075658564725,-0.05389940921129466,1814.5
2021-07-12,1805.5,1788.1800048828125,1794.705010986328,1833.9900073242188,1803.804041052804,62.539656704695766,16.03465468708263,-0.0024861878453038555,0.3116279750419757,1808.699951171875
2021-07-13,1809.4000244140625,1791.160009765625,1791.9750122070313,1834.8320068359376,1804.3369918491142,67.8148368607571,17.00280824374277,0.002160079985634278,0.28432160460552036,1810.9000244140625
2021-07-14,1824.300048828125,1797.310009765625,1790.4650146484375,1835.4900073242188,1806.2382353709247,70.62867379902296,16.725260995302616,0.00823478734001215,0.42913002004911127,1802.9000244140625
